0010501P,151,ECOLE ELEMENTAIRE PUBLIQUE,Public,10,1062
0010144B,151,Ecole primaire,Public,10,1063
0011429Y,340,Collège De Briord,Public,10,1064
0011297E,151,Ecole primaire,Public,10,1064
0011232J,151,Ecole primaire Les Condamines,Public,10,1065
0010647Y,151,Ecole primaire,Public,10,1068
0010543K,151,Ecole primaire Edgar Quinet,Public,10,1069
0011340B,151,Ecole élémentaire,Public,10,1071
0010878Z,306,Lycée polyvalent privé Jeanne d'Arc,Privé,10,1071
0011339A,101,Ecole maternelle,Public,10,1071
0011336X,334,Section d'enseignement professionnel du Lycée polyvalent privé Jeanne d'Arc,Privé,10,1071
0011177Z,151,Ecole élémentaire,Public,10,1072
0010898W,101,Ecole maternelle,Public,10,1072
0011387C,340,Collège Lucie Aubrac,Public,10,1072
0010222L,151,Ecole primaire,Public,10,1073
0011317B,151,Ecole primaire,Public,10,1074
0010427J,151,Ecole primaire,Public,10,1075
0010418Z,151,Ecole primaire,Public,10,1078
0011282N,151,Ecole primaire privée Montessori,Privé,10,1079
0010230V,151,Ecole primaire,Public,10,1079
0010407M,151,Ecole primaire,Public,10,1080
0010404J,151,Ecole primaire,Public,10,1080
0010591M,151,Ecole primaire,Public,10,1081
0010211Z,151,Ecole primaire,Public,10,1082
0010428K,151,Ecole primaire,Public,10,1083
0010672A,151,Ecole élémentaire,Public,10,1084
0010145C,151,Ecole élémentaire,Public,10,1087
0010512B,151,Ecole primaire,Public,10,1088
0011428X,151,Ecole primaire privée Des Essentiels,Privé,10,1089
0010449H,151,Ecole primaire,Public,10,1089
0010456R,151,Ecole élémentaire,Public,10,1090
0010457S,151,Ecole primaire La Pépinière,Public,10,1092
0010084L,340,Collège privé Saint Charles,Privé,10,1093
0010821M,340,Collège Eugène Dubois,Public,10,1093
0010020S,320,Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques,Public,10,1093
0010296S,151,Ecole primaire privée Saint Charles,Privé,10,1093
0011033T,151,Ecole élémentaire,Public,10,1093
0011167N,101,Ecole maternelle,Public,10,1093
0010733S,151,Ecole élémentaire,Public,10,1094
0010657J,151,Ecole primaire,Public,10,1095
0010673B,151,Ecole primaire,Public,10,1096
0010615N,151,Ecole primaire,Public,10,1098
0011344F,151,Ecole primaire,Public,10,1099
0010735U,151,Ecole primaire,Public,10,1102
0010297T,151,Ecole primaire privée Sainte Marie,Privé,10,1103
0011440K,101,Ecole maternelle privée bilingue Montessori Les Tournesols,Privé,10,1103
0010130L,151,Ecole primaire Françoise Dolto,Public,10,1103
0010390U,151,Ecole primaire,Public,10,1104
0010244K,151,Ecole primaire,Public,10,1105
0011327M,151,Ecole primaire,Public,10,1108
0011071J,340,Collège Le Grand Cèdre,Public,10,1108
0010416X,151,Ecole primaire,Public,10,1109
0010406L,151,Ecole primaire,Public,10,1112
0010675D,151,Ecole primaire,Public,10,1113
0010391V,151,Ecole primaire,Public,10,1114
0010710S,151,Ecole primaire,Public,10,1115
0010224N,151,Ecole primaire,Public,10,1116
0010213B,151,Ecole primaire,Public,10,1118
0011308S,151,Ecole primaire,Public,10,1123
0010321U,151,Ecole primaire,Public,10,1124
0010658K,151,Ecole primaire,Public,10,1125
0010715X,151,Ecole primaire,Public,10,1130
0010712U,151,Ecole primaire,Public,10,1130
0010616P,151,Ecole primaire,Public,10,1133
0010334H,151,Ecole primaire,Public,10,1134
0010131M,151,Ecole primaire Les Chardons Bleus,Public,10,1135
0010336K,151,Ecole primaire,Public,10,1136
0010022U,340,Collège Henry Dunant,Public,10,1138
0010216E,101,Ecole maternelle,Public,10,1138
0011269Z,151,Ecole élémentaire Milvendre,Public,10,1138
0010928D,151,Ecole primaire,Public,10,1139
0010714W,151,Ecole élémentaire,Public,10,1140
0010299V,151,Ecole primaire privée Saint Louis,Privé,10,1142
0011089D,151,Ecole élémentaire,Public,10,1142
0010083K,340,Collège privé Saint Louis,Privé,10,1142
0011079T,101,Ecole maternelle,Public,10,1142
0011142L,340,Collège Marcel Aymé,Public,10,1142
0011011U,340,Collège Marcel Anthonioz,Public,10,1143
0011406Y,151,Ecole primaire Guy de Maupassant,Public,10,1143
0010134R,101,Ecole maternelle Centre,Public,10,1143
